# Q2 z GE_fit_SBS GE_fit_rat_SBS dGEGD_SBS GM_fit_SBS GM_fit_rat_SBS dGMGD_SBS GEGM_fit_rat_SBS dGEGM_SBS
1.0000000000e-06 -5.1919316708e-01 9.9999697330e-01 9.9999979019e-01 1.0941385537e-07 2.7928386988e+00 9.9999971710e-01 2.1453120940e-07 1.0000000731e+00 2.4082165828e-07
1.0115794543e-06 -5.1919313994e-01 9.9999693825e-01 9.9999978776e-01 1.1067902214e-07 2.7928385985e+00 9.9999971383e-01 2.1701247332e-07 1.0000000739e+00 2.4360685632e-07
1.0232929923e-06 -5.1919311249e-01 9.9999690280e-01 9.9999978530e-01 1.1195501314e-07 2.7928384971e+00 9.9999971052e-01 2.1951499439e-07 1.0000000748e+00 2.4641590877e-07
1.0351421667e-06 -5.1919308472e-01 9.9999686693e-01 9.9999978282e-01 1.1324182607e-07 2.7928383945e+00 9.9999970716e-01 2.2203876923e-07 1.0000000757e+00 2.4924881155e-07
1.0471285481e-06 -5.1919305663e-01 9.9999683065e-01 9.9999978030e-01 1.1455046792e-07 2.7928382908e+00 9.9999970377e-01 2.2460532394e-07 1.0000000765e+00 2.5212974165e-07
1.0592537252e-06 -5.1919302822e-01 9.9999679395e-01 9.9999977776e-01 1.1588093517e-07 2.7928381858e+00 9.9999970034e-01 2.2721465295e-07 1.0000000774e+00 2.5505869252e-07
1.0715193052e-06 -5.1919299947e-01 9.9999675683e-01 9.9999977519e-01 1.1721120742e-07 2.7928380796e+00 9.9999969687e-01 2.2982369448e-07 1.0000000783e+00 2.5798729874e-07
1.0839269140e-06 -5.1919297039e-01 9.9999671928e-01 9.9999977258e-01 1.1856329965e-07 2.7928379722e+00 9.9999969336e-01 2.3247550197e-07 1.0000000792e+00 2.6096391584e-07
1.0964781961e-06 -5.1919294098e-01 9.9999668129e-01 9.9999976995e-01 1.1993720832e-07 2.7928378635e+00 9.9999968981e-01 2.3517006981e-07 1.0000000801e+00 2.6398853720e-07
1.1091748153e-06 -5.1919291122e-01 9.9999664286e-01 9.9999976729e-01 1.2132192263e-07 2.7928377536e+00 9.9999968622e-01 2.3788586641e-07 1.0000000811e+00 2.6703697922e-07
1.1220184543e-06 -5.1919288112e-01 9.9999660398e-01 9.9999976459e-01 1.2271744019e-07 2.7928376424e+00 9.9999968259e-01 2.4062288827e-07 1.0000000820e+00 2.7010923772e-07
1.1350108157e-06 -5.1919285068e-01 9.9999656466e-01 9.9999976187e-01 1.2413476512e-07 2.7928375299e+00 9.9999967891e-01 2.4340265639e-07 1.0000000830e+00 2.7322948380e-07
1.1481536215e-06 -5.1919281987e-01 9.9999652488e-01 9.9999975911e-01 1.2557389381e-07 2.7928374162e+00 9.9999967519e-01 2.4622516508e-07 1.0000000839e+00 2.7639771078e-07
1.1614486138e-06 -5.1919278872e-01 9.9999648464e-01 9.9999975632e-01 1.2701281130e-07 2.7928373011e+00 9.9999967143e-01 2.4904736247e-07 1.0000000849e+00 2.7956556454e-07
1.1748975549e-06 -5.1919275720e-01 9.9999644393e-01 9.9999975350e-01 1.2848453224e-07 2.7928371846e+00 9.9999966763e-01 2.5193381426e-07 1.0000000859e+00 2.8280556192e-07
