##        Q2         GEp/GD        dGEp/GD    GEp/GD(all)       GMp/muGD      dGMp/muGD dGMp/muGD(all)     GEp/GD(Mz)   GMp/muGD(Mz)
  1.0000e-06   9.999995e-01   1.717605e-07   9.999995e-01   9.999997e-01   2.344188e-07   9.999997e-01   9.999995e-01   9.999997e-01
  1.0116e-06   9.999995e-01   1.737493e-07   9.999995e-01   9.999997e-01   2.371332e-07   9.999997e-01   9.999995e-01   9.999997e-01
  1.0233e-06   9.999995e-01   1.757612e-07   9.999995e-01   9.999997e-01   2.398789e-07   9.999997e-01   9.999995e-01   9.999997e-01
  1.0351e-06   9.999995e-01   1.777963e-07   9.999995e-01   9.999997e-01   2.426565e-07   9.999997e-01   9.999995e-01   9.999997e-01
  1.0471e-06   9.999995e-01   1.798551e-07   9.999995e-01   9.999997e-01   2.454663e-07   9.999997e-01   9.999995e-01   9.999997e-01
  1.0593e-06   9.999995e-01   1.819376e-07   9.999995e-01   9.999997e-01   2.483085e-07   9.999997e-01   9.999995e-01   9.999997e-01
  1.0715e-06   9.999995e-01   1.840443e-07   9.999995e-01   9.999997e-01   2.511837e-07   9.999997e-01   9.999995e-01   9.999997e-01
  1.0839e-06   9.999995e-01   1.861754e-07   9.999995e-01   9.999997e-01   2.540922e-07   9.999997e-01   9.999995e-01   9.999997e-01
  1.0965e-06   9.999995e-01   1.883311e-07   9.999995e-01   9.999997e-01   2.570343e-07   9.999997e-01   9.999995e-01   9.999997e-01
  1.1092e-06   9.999995e-01   1.905118e-07   9.999995e-01   9.999997e-01   2.600105e-07   9.999997e-01   9.999995e-01   9.999997e-01
  1.1220e-06   9.999994e-01   1.927177e-07   9.999994e-01   9.999997e-01   2.630212e-07   9.999997e-01   9.999994e-01   9.999997e-01
  1.1350e-06   9.999994e-01   1.949492e-07   9.999994e-01   9.999997e-01   2.660667e-07   9.999997e-01   9.999994e-01   9.999997e-01
  1.1482e-06   9.999994e-01   1.972066e-07   9.999994e-01   9.999997e-01   2.691475e-07   9.999997e-01   9.999994e-01   9.999997e-01
  1.1614e-06   9.999994e-01   1.994900e-07   9.999994e-01   9.999997e-01   2.722640e-07   9.999997e-01   9.999994e-01   9.999997e-01
  1.1749e-06   9.999994e-01   2.017999e-07   9.999994e-01   9.999997e-01   2.754165e-07   9.999997e-01   9.999994e-01   9.999997e-01
  1.1885e-06   9.999994e-01   2.041366e-07   9.999994e-01   9.999997e-01   2.786056e-07   9.999997e-01   9.999994e-01   9.999997e-01
